Places,Location,Category,Likes_oount
Megan Fowler Bridge,Abuja,Building,34
The Chad Basin National Park,Abuja,Resort,132
Yankari National Park,Bauchi,Game reserve,28
Aso Rock,Abuja,Monument,0
Ikogosi Warm Springs,Ekiti,Resort,1
Agbokim Waterfalls,Cross River,Waterfall,83
Mambilla Plateau,Taraba,Resort,0
Owu Waterfalls,Kwara,Waterfall,0
La Campagne Tropicana Beach,Lagos,Beach,727
Ngwo Cave and Waterfall,Enugu,Waterfall,24
Idanre Hills,Ondo,Nature,2
Nok Village,Kaduna,Cultural centre,0
Birikisu Sungbo Shrine,Ogun,Shrine,0
Cave of Giants,Enugu,Nature,327
The Nigerian national museum,Lagos,Museum,225
Okomu national park,Edo,Game reserve,10
The National Theatre,Lagos,Hall,1094
Azumini Blue River,Abia,River,1
Obudu Mountain Resort,Cross River,Resort,0
The Long JuJu Shrine of Arochukwu,Abia,Shrine,1
Tinapa business resort,Cross River,Resort,0
Ikeja city mall,Lagos,Mall,613
Lekki Leisure lake,Lagos,Beach,383
Jos wildlife park,Plateau,Zoo,1
Rojenny Tourist Village,Anambra,Play ground,0
Oguta lake holiday complex,Imo,Nature,0
Enemabia warm spring,Benue,Waterfall,0
Port Harcourt Tourist beach,Rivers,Beach,566
Benin city national museum,Edo,Museum,0
Abraka Turf and Country Club,Delta,Club,0
Jhalobia Recreation Parks and Garden,Lagos,Resort,373
"National War Museum, Umuahia",Abia,Museum,17
International Institute of Tropical Agriculture,Oyo,College,0
"Millennium Park, Abuja",Abuja,Park,215
Wonderland Amusement Park and Resort,Abuja,Park,200
Funtopia water park,Lagos,Park,222
Nike art gallery,Lagos,Art gallery,1093
Afi Wildlife Sanctuary,Cross River,Game reserve,5
Tarkwa bay,Lagos,Beach,619
"National Museum, Calabar",Cross River,Museum,2
Maiyegun beach,Lagos,,0
Lekki conservation center,Lagos,Game reserve,1003
Eleko beach,Lagos,Beach,778
National Children's park and zoo,Abuja,Zoo,453
Ifoko beach,Rivers,Beach,313
Benue hills,Benue,Nature,0
Mbari cultural center,Imo,Cultural centre,0
Eko Atlantic Economic City,Lagos,Town,854
Ososo Tourist center,Edo,Game reserve,8
Chief Nana's Palace,Delta,Palace,0
Ezeagu tourist complex,Enugu,Nature,276
Agia tree monument,Lagos,Monument,331
Iron of Liberty,Lokoja,Building,0
Gurara Waterfalls,Niger,Waterfall,0
Wase Rock,Plateau,Nature,0
Gashaka Gumti National Park,Taraba,Game reserve,6
Omenka gallery,Lagos,Art gallery,266
MicCom Golf Hotel & Resort,Osun,Sport arena,0
Gidan Makama Museum,Kano,Museum,0
Wikki warm springs,Bauchi,Resort,0
Kainji Lake National Park,Niger,Game reserve,9
Nike Lake Resort,Enugu,Resort,252
Eggon hills,Nassarawa,Nature,0
Sambisa Game Reserve,Borno,Park,0
Jos Museum,Plateau,Museum,1
Riyom rocks,Plateau,Nature,0
Lagos bar beach,Lagos,Beach,523
Bida Brass Works,Niger,Art gallery,1
Marina Resort,Cross River,Resort,1
Asa Dam,Kwara,Dam,0
Biu Plateau,Borno,Nature,2
Kura Falls,Plateau,Nature,1
Farin Ruwa Falls,Nassarawa,Waterfall,0
Shere Hills,Plateau,Nature,0
Owo museum of antiquities,Ondo,Museum,1
Cave of Ashes Isarun,Ondo,Nature,2
Ebomi lake,Ondo,Nature,1
Igbo Olodumare,Ondo,Monument,2
New Africa Shrine,Lagos,Monument,534
Atican Beach,Lagos,Beach,393
Kalakuta Republic Museum,Lagos,Museum,417
Freedom Park,Lagos,Park,572
Tafawa Balewa Square,Lagos,Open arena,357
Elegushi Beach,Lagos,Beach,300
Bogobiri House,Lagos,Cultural centre,284
Jazz Hole,Lagos,Cultural centre,219
Motherlan',Lagos,Cultural centre,213
Lagos yacht club,Lagos,Club,314
African Artists' Foundation,Lagos,Art gallery,220
Jankara Market,Lagos,Market,203
Get Arena,Lagos,Play ground,201
Lekki Beach Resort,Lagos,Resort,278
Silverbird Galleria,Lagos,Mall,226
The Church of Assumption,Lagos,Place of worship,0
Tarzan Beach Resort,Lagos,Beach,202
Third Mainland Bridge,Lagos,Monument,282
"Palms Shopping Mall, Lagos",Lagos,Mall,0
Drill Ranch,Cross River,Game reserve,9
Black Heritage Museum,Lagos,Museum,158
Club Quilox,Lagos,Club,306
Lekki Craft Market,Lagos,Market,213
Red Door Art Gallery,Lagos,Art gallery,256
Cathedral Church of Christ,Lagos,Place of worship,118
Badagry,Lagos,Town,226
Eko Gym and Spa,Lagos,"Spas, Saunas and Wellness centre",270
Muson center,Lagos,Art gallery,172
Barazahi,Lagos,"Spas, Saunas and Wellness centre",120
